14,21/09/30 22:05:40,21/09/30 22:05:42,LIGHT,-1,,1
13,21/09/30 22:05:40,21/09/30 22:05:43,SWITCH,-1,,1
12,21/09/30 22:05:36,21/09/30 22:05:42,SWITCH2,-1,,1
11,21/09/30 22:05:28,21/09/30 22:05:36,LIGHT,-1,,1
10,21/09/30 22:05:23,21/09/30 22:05:27,LIGHT,-1,,1
9,21/09/30 22:05:23,21/09/30 22:05:27,SWITCH2,-1,,1
8,21/09/30 22:05:21,21/09/30 22:05:28,SWITCH,-1,,1
7,21/09/30 22:05:18,21/09/30 22:05:21,LIGHT,-1,,1
6,21/09/30 22:05:14,21/09/30 22:05:17,LIGHT,-1,,1
5,21/09/30 22:05:14,21/09/30 22:05:18,SWITCH,-1,,1
4,21/09/30 22:05:07,21/09/30 22:05:12,LIGHT,-1,,1
3,21/09/30 22:05:07,21/09/30 22:05:17,SWITCH2,-1,,1
2,21/09/30 22:05:02,21/09/30 22:05:12,SWITCH,-1,,1
1,21/09/30 22:04:53,21/09/30 22:05:02,LIGHT,-1,,1
