20,21/10/04 18:29:50,21/10/04 18:29:51,Light,-1,,0
19,21/10/04 18:29:50,21/10/04 18:29:51,Switch2,-1,,0
18,21/10/04 18:29:48,21/10/04 18:29:50,Light,-1,,0
17,21/10/04 18:29:48,21/10/04 18:29:50,Switch1,-1,,0
16,21/10/04 18:29:45,21/10/04 18:29:46,Light,-1,,0
15,21/10/04 18:29:43,21/10/04 18:29:46,Switch2,-1,,0
14,21/10/04 18:29:43,21/10/04 18:29:43,Light,-1,,0
13,21/10/04 18:29:43,21/10/04 18:29:45,Switch1,-1,,0
12,21/10/04 18:29:41,21/10/04 18:29:42,Light,-1,,0
11,21/10/04 18:29:39,21/10/04 18:29:41,Switch2,-1,,0
10,21/10/04 18:29:39,21/10/04 18:29:39,Light,-1,,0
9,21/10/04 18:29:39,21/10/04 18:29:42,Switch1,-1,,0
8,21/10/04 18:29:37,21/10/04 18:29:38,Light,-1,,0
7,21/10/04 18:29:37,21/10/04 18:29:37,Switch2,-1,,0
6,21/10/04 18:29:34,21/10/04 18:29:36,Light,-1,,0
5,21/10/04 18:29:34,21/10/04 18:29:36,Switch1,-1,,0
4,21/10/04 18:29:31,21/10/04 18:29:32,Light,-1,,0
3,21/10/04 18:29:28,21/10/04 18:29:31,Switch2,-1,,0
2,21/10/04 18:29:25,21/10/04 18:29:28,Light,-1,,0
1,21/10/04 18:29:25,21/10/04 18:29:32,Switch1,-1,,0
